a0,a1,a2,a3,st_range,end_range
132.317925,26.470455,4.788069,0.210526,-7.581131,-5.597318
88.037679,2.737526,0.548015,-0.041979,-5.597318,8.950650
65.561456,10.270909,-0.293642,-0.010635,8.950650,18.869719
-815.510813,150.348075,-7.717026,0.120499,18.869719,28.788788
6542.276051,-616.386544,18.916072,-0.187875,28.788788,38.046586
-3329.356376,161.998599,-1.542666,-0.008632,38.046586,43.998027
-42743.817390,2849.468701,-62.624271,0.454128,43.998027,53.255825
381978.066613,-21075.907538,386.629425,-2.357794,53.255825,55.900910
-92627.863409,4394.479015,-69.005134,0.359124,55.900910,71.110149
1168058.298152,-48791.437821,678.931938,-3.146878,71.110149,74.416506
-2184134.384472,86347.641451,-1137.050661,4.987440,74.416506,77.061591
506812.685635,-18410.658268,222.359375,-0.892748,77.061591,90.948287
-42385919.993511,1396439.493954,-15334.284904,56.123697,90.948287,92.270830
100482792.902788,-3248648.664213,35007.607219,-125.739094,92.270830,92.932101
-2354393.775438,71103.677661,-714.735276,2.391523,92.932101,104.834984
32674533.847330,-931298.183272,8846.976134,-28.010896,104.834984,106.818798
-122503282.812261,3426862.181558,-31952.587821,99.306158,106.818798,107.480069
11390273.137511,-310395.079597,2819.042865,-8.532846,107.480069,110.125154
