a0,a1,a2,a3,st_range,end_range
0,4.086739e-033,5.595312e-038,0,28.78879,53.25583
9.514817e-043,0,0,0,53.25583,77.06159
0,0,4.278586e-033,0,77.06159,92.27083
2.907787e-033,0,0,0,92.27083,104.835
0,0,0,0,104.835,110.1252
0,0,6.523985e-038,5.060343e-038,110.1252,107.4801
0,0,1.041165e-042,0,107.4801,90.94829
1.039763e-042,5.058056e-038,6.520537e-038,0,90.94829,71.11015
0,0,0,0,71.11015,43.99803
0,3.888865e-033,1.471363e-043,8.16957e-043,43.99803,18.86972
0,2.908155e-033,0,1.130848e-042,18.86972,-5.597318
1.130848e-042,3.888119e-033,0,6.319856e-043,-5.597318,-7.581131
0,0,0,0,-7.581131,8.95065
0,6.231263e-038,0,0,8.95065,38.04659
0,0,0,0,38.04659,55.90091
0,5.642378e-038,0,0,55.90091,74.4165
1.086006e-042,0,0,0,74.4165,92.9321
0,0,0,0,92.9321,106.8188
